Pattern,Simplest Definition,Problem Solved,Use Case,When to Use,Implemented in JDK/Framework,Key Components
Singleton,One instance of a class,Control single global instance,"Logger, config manager",When exactly one instance needed,"Runtime, Calendar","Singleton class, private constructor, static getter"
Factory Method,Defines interface for object creation in superclass,Decouple client code from classes it instantiates,"UI widgets, plugin systems",When subclasses decide class creation,"No, widely used in Spring, Hibernate","Creator, ConcreteCreator, Product"
Abstract Factory,Creates families of related objects,Ensure compatible object families,"UI kits, cross-platform toolkits",Multiple related objects need creation,"No, used in UI frameworks","AbstractFactory, ConcreteFactory, AbstractProduct"
Builder,Stepwise object construction,Complex object construction with many options,"StringBuilder, Parser construction",Construction process complex or stepwise,StringBuilder,"Builder interface, ConcreteBuilder, Director, Product"
Prototype,Clone existing objects,Expensive or complex object creation,"Cloning config, UI prototypes",Object copying preferred over new construction,"No, pattern used in Spring","Prototype interface, ConcretePrototype"
Adapter,Converts interface of one class to another,Incompatible interfaces integration,"Legacy compatibility, third-party integration",Wrapping incompatible class with desired interface,"Yes, java.util.Arrays#asList() (wrapper)","Target, Adapter, Adaptee"
Bridge,Separates abstraction from its implementation,Avoids binding abstraction permanently to implementation,"GUI toolkits, device driver abstraction",Need to vary abstraction and implementation independently,"No, used in Swing, AWT","Abstraction, RefinedAbstraction, Implementor"
Composite,Groups objects into tree structures,Treat individual and composite objects uniformly,"UI component hierarchies, file systems",Tree structures with uniform operations,"Yes, javax.swing.tree.TreeNode","Component, Leaf, Composite"
Decorator,Adds responsibilities dynamically,Add functionalities without subclass explosion,"Java I/O streams, GUI enhancement",Add features at runtime or transparently,"Yes, Java IO streams","Component, ConcreteComponent, Decorator, ConcreteDecorator"
Facade,Simplifies complex subsystem interfaces,Complex subsystem complexity,javax.faces.context.FacesContext,Provide simple interface to complex system,"Yes, javax.faces.context","Facade, Subsystem"
Flyweight,Shares common data to save memory,Large number of similar objects,Character objects in text editor,Performance optimization with many similar objects,"Yes, java.lang.Integer.valueOf (caching)","Flyweight, ConcreteFlyweight, FlyweightFactory"
Proxy,Provides placeholder for another object,"Controls access, adds functionality","Virtual proxy for loading, security proxies","Lazy loading, access control, logging","Yes, java.lang.reflect.Proxy","Subject, RealSubject, Proxy"
Chain of Responsibility,Pass requests along a chain until handled,Coupling sender and receiver of a request,"Event handling, logging, UI event propagation",Multiple objects can handle a request,"Yes, servlet filters","Handler, ConcreteHandler"
Command,Encapsulates requests as objects,"Parameterize clients with queues, logs, undo","GUI buttons, macro recording","Queuing, logging, callbacks","Yes, java.util.concurrent","Command, ConcreteCommand, Invoker, Receiver"
Interpreter,Interpret sentences in a language,"Parse grammar, interpret language","SQL parser, mathematical expressions",Simple grammar interpretation,No,"AbstractExpression, TerminalExpression, Context"
Iterator,Access elements sequentially without exposing structure,Uniform iteration of container,"Java Iterator, collections",Need uniform traversal,"Yes, java.util.Iterator","Iterator, ConcreteIterator, Aggregate"
Mediator,Centralizes communication between components,Reduce chaotic dependencies,"GUI dialog management, chat rooms",Complex class interactions,"No, sometimes via Spring DI","Mediator, ConcreteMediator, Colleague"
Memento,Capture and restore object state,Save and restore previous states,"Undo, transactions",Need rollback or undo,"Yes, javax.faces.component.StateHolder","Originator, Memento, Caretaker"
Observer,One-to-many notification,Loose coupling between subject and observer,"GUI event handling, MVC models",When state change triggers many updates,"Yes, java.util.Observer, Spring events","Subject, Observer, ConcreteSubject, ConcreteObserver"
State,Object changes behavior based on its state,State-dependent behavior,"TCP connection states, vending machines",Object behavior varies with state,No,"Context, State, ConcreteState"
Strategy,Encapsulates interchangeable algorithms,Replace algorithms without changing clients,"Sorting, payment processing",Need to switch algorithms dynamically,"No, seen in Spring AOP","Strategy, ConcreteStrategy, Context"
Template Method,"Defines skeleton of algorithm, subclasses override steps",Reuse invariant algorithm structure,"Framework algorithms, JDBC Template",Partial algorithm reuse,"Yes, java.util.AbstractList, Spring JDBC","AbstractClass, ConcreteClass, Primitive Operations"
Visitor,Add new operations without modifying classes,Separate operations from object structure,"Compiler AST traversal, file visitors",Object structure stable but behaviors vary,"Yes, javax.lang.model.element, FileVisitor","Visitor, ConcreteVisitor, Element, ConcreteElement"
